id,model_name,model_type,battery_capacity,range,color,year,charging_time
1,UrbanGlide,Crossover,40,350,Midnight Black,2024,8
2,EcoSprint,Hatchback,80,350,Cherry Red,2021,24
3,UrbanGlide,Hatchback,50,350,Arctic White,2021,8
4,AeroFlow,SUV,80,200,Sky Blue,2022,10
5,UrbanGlide,SUV,80,200,Midnight Black,2022,10
6,EcoSprint,Sedan,40,350,Arctic White,2023,10
7,PowerRide,Coupe,50,200,Cherry Red,2021,24
8,EcoSprint,Sedan,80,200,Sky Blue,2020,8
9,UrbanGlide,SUV,80,200,Metallic Silver,2022,24
10,EcoSprint,SUV,80,350,Midnight Black,2023,24
11,EcoSprint,SUV,50,300,Arctic White,2023,24
12,EcoSprint,Sedan,80,300,Midnight Black,2021,8
13,EcoSprint,SUV,50,350,Midnight Black,2021,24
14,TerraCross,SUV,40,300,Metallic Silver,2023,8
15,EcoSprint,Crossover,100,150,Arctic White,2020,24
16,EcoSprint,Sedan,80,200,Midnight Black,2020,8
17,TerraCross,Crossover,50,150,Arctic White,2023,24
18,EcoSprint,Sedan,40,350,Arctic White,2024,24
19,UrbanGlide,SUV,80,150,Midnight Black,2024,24
20,TerraCross,Sedan,80,300,Arctic White,2024,24
21,TerraCross,SUV,40,350,Sky Blue,2021,24
22,TerraCross,SUV,50,200,Arctic White,2020,8
23,AeroFlow,Crossover,80,300,Midnight Black,2023,8
24,EcoSprint,Sedan,80,300,Sky Blue,2023,10
25,TerraCross,Sedan,100,200,Cherry Red,2020,10
26,PowerRide,Hatchback,100,350,Arctic White,2021,8
27,AeroFlow,Hatchback,100,300,Midnight Black,2020,24
28,PowerRide,Coupe,100,150,Sky Blue,2023,8
29,TerraCross,SUV,80,200,Metallic Silver,2021,24
30,PowerRide,Sedan,40,200,Sky Blue,2024,10
31,PowerRide,Crossover,50,150,Arctic White,2022,24
32,TerraCross,Hatchback,50,300,Arctic White,2020,24
33,EcoSprint,Coupe,40,300,Metallic Silver,2022,8
34,PowerRide,SUV,80,300,Arctic White,2022,24
35,TerraCross,Hatchback,40,200,Sky Blue,2023,10
36,EcoSprint,Crossover,80,200,Cherry Red,2020,8
37,UrbanGlide,SUV,50,200,Arctic White,2024,24
38,PowerRide,Sedan,100,300,Cherry Red,2020,8
39,TerraCross,Coupe,40,350,Sky Blue,2022,24
40,EcoSprint,SUV,50,150,Sky Blue,2022,8
